"","m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","NoCar","allCars","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
"1",671,771,1033,1160,1165,772,679,760,1053,1283,1139,859,1896,9449,347,1068,2772,1731,1132,657,1173,760,288,1417
"2",887,1254,1217,1344,1229,752,832,1169,1255,1369,1228,886,2925,10497,397,1313,3264,1978,1128,735,1285,1041,378,1902
"3",883,864,1195,1382,1170,878,811,962,1285,1493,1276,933,2114,11018,355,1001,2999,1894,1261,797,1483,1060,366,1915
"4",976,1085,1184,1073,852,482,1021,1202,1034,1177,793,587,3202,8264,143,398,1583,1455,803,791,1587,1265,886,2556
"5",1368,1764,1528,978,768,462,1421,1771,1296,1004,765,485,6325,7285,83,253,971,961,803,706,1638,1749,2106,4341
"6",1552,1847,1425,908,688,349,1572,1893,1414,887,626,355,5664,7852,48,173,717,696,844,517,1305,1339,2605,5270
"7",3607,3146,1638,814,623,297,3108,1968,1087,720,531,371,10927,6983,43,312,790,674,660,476,1127,1377,2142,10309
"8",830,1042,1139,1031,927,465,1101,1152,1225,1145,925,593,3382,8193,144,449,1727,1355,798,699,1525,1429,847,2600
"9",677,809,1094,1191,1131,862,715,868,1117,1289,1204,987,1743,10201,345,972,2786,1569,1364,742,1399,1101,221,1445
"10",1040,1173,1086,1190,955,532,1084,1434,1197,1259,944,646,4298,8242,128,378,1649,1517,816,958,1989,1815,900,2391
"11",1058,1361,1247,914,823,436,1138,1484,1122,1022,805,482,4224,7668,85,330,1128,1065,808,576,1466,1489,1494,3451
"12",1127,1317,1159,829,738,414,1071,1362,1175,901,704,457,3030,8224,104,531,1343,906,861,418,963,869,1533,3726
"13",830,1059,1259,1254,994,610,776,1069,1239,1310,1033,700,2447,9686,367,928,2739,1803,1052,793,1395,1011,387,1658
"14",574,534,911,1059,956,744,551,542,1019,1164,984,881,1687,8232,407,1636,2811,1047,931,343,769,410,182,1383
"15",1165,1564,1204,841,858,493,1207,1459,1036,853,811,498,4746,7243,109,335,1068,799,950,589,1358,1392,1801,3587
"16",838,1106,1192,1131,1014,686,889,1087,1178,1166,998,730,2898,9117,258,641,2095,1413,1102,741,1524,1375,711,2156
"17",940,933,1068,1140,944,657,1001,1061,1198,1203,912,720,4132,7645,153,342,1553,1328,791,919,2015,1849,698,2128
"18",1425,2028,1485,900,718,422,1430,1977,1345,1006,656,434,6902,6924,53,222,777,779,744,586,1498,1800,2520,4846
"19",1469,2039,1518,809,700,394,1478,1800,1192,776,626,378,6454,6725,35,248,691,631,755,477,1099,1282,2801,5160
"20",883,1078,1233,1249,950,524,929,1101,1291,1324,902,573,2447,9590,268,695,2258,1762,1024,886,1533,1192,480,1940
"21",943,1143,1152,1119,877,531,1060,1273,1251,1225,920,640,3952,8182,146,346,1621,1408,768,891,1939,1786,911,2318
"22",777,1319,1215,1056,915,526,724,1218,1135,1028,921,631,3499,7966,252,1138,2627,1497,775,617,1238,867,538,1917
"23",883,1071,1222,1150,971,625,955,1254,1234,1215,1024,642,3391,8855,193,570,2114,1505,967,751,1616,1379,834,2317
"24",1472,1941,1343,832,695,369,1446,1820,1301,836,665,419,4313,8826,64,338,920,750,950,422,1149,1164,2404,4978
"25",1181,1423,1382,1229,988,579,1259,1766,1359,1471,953,613,6037,8166,148,446,1523,1278,770,981,2128,2440,1374,3115
"26",474,454,840,906,809,534,407,485,912,979,864,641,1006,7299,351,1188,2378,1074,794,331,667,376,108,1039
"27",804,897,985,1001,830,514,812,979,1085,1058,811,607,3399,6984,128,344,1385,1413,772,745,1468,1459,692,1976
"28",878,1108,1160,1130,917,593,968,1125,1193,1149,938,663,3695,8127,202,431,1739,1543,812,888,1864,1610,676,2056
"29",646,794,1093,1169,1069,591,649,777,1140,1231,1062,624,1763,9082,318,827,2466,1349,1393,670,1228,944,303,1348
"30",826,938,997,1063,983,645,855,951,1046,1104,995,715,2892,8226,202,416,1701,1523,869,890,1599,1485,579,1854
"31",563,632,782,897,771,516,546,602,802,832,754,595,2325,5967,227,561,1649,1080,665,594,1117,937,290,1172
"32",508,465,899,1024,905,475,481,534,1032,1139,954,490,2198,6708,270,999,2397,804,987,442,904,630,251,1223
"33",595,716,845,839,705,500,651,763,838,850,724,550,2399,6177,154,439,1461,1110,673,626,1238,1126,425,1322
"34",545,595,912,908,785,486,484,651,928,970,770,462,1376,7120,282,705,1904,1058,886,561,971,718,245,1166
"35",512,592,766,911,797,545,495,609,820,870,832,546,1396,6899,271,741,1978,1170,776,477,919,718,202,1043
"36",719,676,948,903,751,525,706,755,898,935,819,633,2984,6284,140,342,1339,1071,662,662,1528,1288,556,1678
"37",519,459,735,890,775,503,511,465,834,924,758,510,1570,6313,239,702,1810,866,893,418,835,735,222,1164
"38",582,503,816,939,810,580,503,563,862,972,820,649,1458,7141,258,627,1963,1367,881,550,955,715,185,1098
"39",756,780,839,879,649,414,814,883,888,886,682,455,3472,5453,97,212,1054,928,520,626,1556,1531,655,1746
"40",1094,1318,1129,702,617,332,1139,1396,953,654,546,335,4458,5757,43,225,645,619,637,385,1149,1148,1738,3625
"41",620,570,807,822,753,618,503,558,867,783,826,632,2110,6249,202,583,1702,1044,615,576,1110,957,342,1226
"42",549,571,858,893,784,518,527,585,925,964,761,487,1496,6926,278,771,1985,901,897,460,917,768,260,1186
"43",649,866,917,873,754,507,586,798,935,920,758,562,1993,7132,270,1071,2074,1149,679,396,949,640,380,1517
"44",652,854,809,889,710,507,637,755,817,852,781,563,2703,6123,149,516,1617,1146,712,650,1307,1066,360,1304
"45",599,677,925,891,824,487,626,728,897,917,850,521,2639,6303,172,535,1774,882,889,575,1280,986,441,1408
"46",706,1000,881,946,717,474,688,868,794,822,641,522,3663,5396,126,392,1370,1034,641,714,1510,1343,526,1404
"47",585,822,788,772,718,527,670,855,817,813,703,567,2566,6071,141,368,1316,1073,626,593,1302,1103,545,1571
"48",1132,1253,1332,1235,1033,726,1183,1440,1346,1344,1061,830,4964,8951,251,694,2063,1242,880,806,1724,1806,1128,3321
"49",1173,1652,1439,1114,922,578,1239,1537,1224,1048,899,610,4135,9300,123,440,1386,1097,922,645,1648,1756,1784,3635
"50",1148,1403,1348,1091,1047,722,1168,1490,1280,1150,1038,743,3788,9840,176,513,1632,1336,1006,877,1865,2009,1266,2948
"51",816,899,1176,1168,1045,723,838,1041,1182,1226,1083,770,2676,9291,309,728,2305,1669,1051,774,1493,1507,436,1696
"52",844,1001,1262,1221,1123,748,879,998,1223,1179,1082,817,2854,9523,292,694,2325,1620,1108,947,1707,1505,461,1715
"53",1176,1062,1230,1232,974,711,1070,1120,1199,1306,1058,796,4440,8494,188,491,1843,1358,894,952,1845,1795,763,2804
"54",740,765,1198,1207,1202,890,668,766,1264,1209,1254,926,1535,10554,415,1080,2786,1383,1253,840,1391,1167,285,1491
"55",1170,1289,1415,1331,1020,709,1145,1225,1311,1262,1066,791,4193,9541,206,525,1886,1503,1014,1023,1907,2164,942,2565
"56",1369,1252,1260,1130,1019,649,1194,1304,1236,1172,893,686,3727,9437,147,399,1377,1061,1051,672,1527,1700,1519,3710
"57",1315,1652,1468,1029,822,454,1362,1690,1305,1012,739,449,4862,8435,103,323,1120,877,1014,695,1487,2041,1847,3790
"58",1035,1272,1375,1303,1070,628,1033,1318,1365,1346,1029,695,3526,9943,258,738,2559,1531,983,1025,1892,1680,626,2177
