"m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74"
671,771,1033,1160,1165,772,679,760,1053,1283,1139,859
887,1254,1217,1344,1229,752,832,1169,1255,1369,1228,886
883,864,1195,1382,1170,878,811,962,1285,1493,1276,933
976,1085,1184,1073,852,482,1021,1202,1034,1177,793,587
1368,1764,1528,978,768,462,1421,1771,1296,1004,765,485
1552,1847,1425,908,688,349,1572,1893,1414,887,626,355
3607,3146,1638,814,623,297,3108,1968,1087,720,531,371
830,1042,1139,1031,927,465,1101,1152,1225,1145,925,593
677,809,1094,1191,1131,862,715,868,1117,1289,1204,987
1040,1173,1086,1190,955,532,1084,1434,1197,1259,944,646
1058,1361,1247,914,823,436,1138,1484,1122,1022,805,482
1127,1317,1159,829,738,414,1071,1362,1175,901,704,457
830,1059,1259,1254,994,610,776,1069,1239,1310,1033,700
574,534,911,1059,956,744,551,542,1019,1164,984,881
1165,1564,1204,841,858,493,1207,1459,1036,853,811,498
838,1106,1192,1131,1014,686,889,1087,1178,1166,998,730
940,933,1068,1140,944,657,1001,1061,1198,1203,912,720
1425,2028,1485,900,718,422,1430,1977,1345,1006,656,434
1469,2039,1518,809,700,394,1478,1800,1192,776,626,378
883,1078,1233,1249,950,524,929,1101,1291,1324,902,573
943,1143,1152,1119,877,531,1060,1273,1251,1225,920,640
777,1319,1215,1056,915,526,724,1218,1135,1028,921,631
883,1071,1222,1150,971,625,955,1254,1234,1215,1024,642
1472,1941,1343,832,695,369,1446,1820,1301,836,665,419
1181,1423,1382,1229,988,579,1259,1766,1359,1471,953,613
474,454,840,906,809,534,407,485,912,979,864,641
804,897,985,1001,830,514,812,979,1085,1058,811,607
878,1108,1160,1130,917,593,968,1125,1193,1149,938,663
646,794,1093,1169,1069,591,649,777,1140,1231,1062,624
826,938,997,1063,983,645,855,951,1046,1104,995,715
563,632,782,897,771,516,546,602,802,832,754,595
508,465,899,1024,905,475,481,534,1032,1139,954,490
595,716,845,839,705,500,651,763,838,850,724,550
545,595,912,908,785,486,484,651,928,970,770,462
512,592,766,911,797,545,495,609,820,870,832,546
719,676,948,903,751,525,706,755,898,935,819,633
519,459,735,890,775,503,511,465,834,924,758,510
582,503,816,939,810,580,503,563,862,972,820,649
756,780,839,879,649,414,814,883,888,886,682,455
1094,1318,1129,702,617,332,1139,1396,953,654,546,335
620,570,807,822,753,618,503,558,867,783,826,632
549,571,858,893,784,518,527,585,925,964,761,487
649,866,917,873,754,507,586,798,935,920,758,562
652,854,809,889,710,507,637,755,817,852,781,563
599,677,925,891,824,487,626,728,897,917,850,521
706,1000,881,946,717,474,688,868,794,822,641,522
585,822,788,772,718,527,670,855,817,813,703,567
1132,1253,1332,1235,1033,726,1183,1440,1346,1344,1061,830
1173,1652,1439,1114,922,578,1239,1537,1224,1048,899,610
1148,1403,1348,1091,1047,722,1168,1490,1280,1150,1038,743
816,899,1176,1168,1045,723,838,1041,1182,1226,1083,770
844,1001,1262,1221,1123,748,879,998,1223,1179,1082,817
1176,1062,1230,1232,974,711,1070,1120,1199,1306,1058,796
740,765,1198,1207,1202,890,668,766,1264,1209,1254,926
1170,1289,1415,1331,1020,709,1145,1225,1311,1262,1066,791
1369,1252,1260,1130,1019,649,1194,1304,1236,1172,893,686
1315,1652,1468,1029,822,454,1362,1690,1305,1012,739,449
1035,1272,1375,1303,1070,628,1033,1318,1365,1346,1029,695
1593,1820,1545,1227,907,604,1447,1605,1274,1076,861,648
1015,1194,1230,1107,1025,588,978,1192,1208,1107,981,682
877,775,1386,1572,1432,905,755,790,1503,1648,1388,906
945,1063,1360,1405,1181,822,960,1151,1422,1456,1207,963
1042,1178,1410,1314,1207,851,976,1182,1481,1362,1267,971
958,939,1326,1458,1329,1077,930,985,1362,1388,1405,1174
2443,1653,1263,1181,1039,647,2263,1361,1098,1019,970,685
838,797,1274,1483,1372,1010,751,906,1337,1532,1516,1141
1085,1338,1599,1511,1379,937,1078,1529,1579,1723,1469,1053
1140,1416,1841,1685,1232,776,1120,1626,1917,1705,1225,851
1661,2732,2026,1681,1191,691,1673,2417,1694,1514,1067,804
1255,1951,1616,1488,1077,695,1460,1927,1459,1340,992,737
1171,1655,1506,1371,1135,714,1213,1934,1618,1403,1134,790
1753,2195,1907,1521,1153,704,1846,2146,1688,1393,1073,699
1061,1702,1743,1457,1299,861,1025,1929,1697,1561,1370,973
1490,2376,1751,1374,908,572,1613,2543,1752,1536,1028,710
